"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "Markdown", "JSON", "HTML", "XML", "Java Properties", "Java", "Batch", "comment", "blank", "total"
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\category\service\CategoryService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 4, 15
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\category\service\CategoryServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 23, 147
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\favorites\controller\FavoriteController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 17, 62
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\favorites\dto\AddFavoritesRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\favorites\dto\FavoriteResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 4, 21
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\favorites\entity\Favorites.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 8, 45
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\favorites\repository\FavoriteRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 7, 20
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\favorites\service\FavoriteService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 113, 0, 10, 35, 158
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\order\controller\OrderController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 21, 85
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\order\dto\request\BuyNowRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 8, 32
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\order\dto\request\PlaceOrderRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 4, 22
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\order\dto\request\UpdateOrderStatusRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 3, 16
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\order\dto\response\OrderItemResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 9, 25
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\order\dto\response\OrderProductSummary.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 6, 18
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\order\dto\response\OrderResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 12, 35
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\order\dto\response\OrderSummaryResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 9, 29
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\order\entity\Order.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 15, 74
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\order\entity\OrderItem.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 11, 55
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\order\entity\OrderStatus.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\order\repository\OrderItemRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\order\repository\OrderRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 6, 17
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\order\service\OrderService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 427, 0, 59, 114, 600
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\payment\config\RazorpayConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 5, 21
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\payment\controller\PaymentController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 10, 43
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\payment\dto\request\CreatePaymentOrderRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\payment\dto\request\VerifyPaymentRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\payment\dto\response\PaymentOrderResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 8, 23
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\payment\entity\Payment.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 13, 59
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\payment\entity\PaymentStatus.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\payment\repository\PaymentRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 7, 18
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\payment\service\PaymentService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 19, 59, 166
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\product\controller\ProductController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 15, 80
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\product\dto\CreateProductRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 12, 42
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\product\dto\ProductResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 14, 60
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\product\dto\UpdateProductRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 12, 42
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\product\entity\Product.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 14, 61
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\product\mapper\ProductMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 9, 26
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\product\repository\ProductRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 4, 15
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\product\service\ProductService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\product\service\ProductServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 167, 0, 0, 48, 215
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\user\config\CorsConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 12, 47
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\user\config\SecurityConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 19, 72
"d:\Full-stack-Resources-and-Files\My Projects 2026\Spring Boot\Commerza\server\src\main\java\com\example\commerza\user\controller\UserController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 12, 62
